"Position","Title","ItemPage","ImageFile"
"1","Elefanka - MC (SDCC '19)","items/mc-elefanka-sdcc-19-939.html","Mc Elefanka (SDCC '19) - DESIGNER TOY-2.jpeg"
"2","Evil MC","items/evil-mc-773.html","Evil MC - DESIGNER TOY.jpeg"
"3","Evil MC - Camo Edition","items/evil-mc-camo-edition-970.html","EVIL MC - Camo Edition - DESIGNER TOY.jpeg"
"4","Evil MC - Camo Face","items/evil-mc-camo-edition-variant-camo-face-340.html","EVIL MC - Camo Edition ( Variant - Camo Face ) - DESIGNER TOY.jpeg"
"5","Evil MC - Diamond Dust Black","items/evil-mc-diamond-dust-edition-black-makeup-520.html","EVIL MC - Diamond Dust Edition ( Black makeup ) - DESIGNER TOY.jpeg"
"6","Evil MC - Diamond Dust Red","items/evil-mc-diamond-dust-edition-red-makeup-175.html","EVIL MC - Diamond Dust Edition ( Red makeup ) - DESIGNER TOY-2.jpeg"
"7","Evil MC - Franken","items/franken-evil-mc-685.html","Franken Evil MC - DESIGNER TOY.jpeg"
"8","EVIL MC - Golden Glitter","items/golden-glitter-evil-mc-924.html","Golden Glitter EVIL MC - DESIGNER TOY.jpeg"
"9","Evil MC - Hella Bling","items/evil-mc-hella-bling-edition-236.html","EVIL MC - Hella Bling Edition - DESIGNER TOY.jpeg"
"10","Evil MC - Hella Evil","items/evil-mc-hella-evil-edition-324.html","Evil MC - Hella Evil edition - DESIGNER TOY.jpeg"
"11","Evil MC - Pure Evil","items/evil-mc-pure-evil-edition-870.html","Evil MC - Pure Evil edition - DESIGNER TOY.jpeg"
"12","Evil MC - Stealth","items/evil-mc-stealth-855.html","Evil MC - Stealth - DESIGNER TOY-2.jpeg"
"13","Evil MC - Supervillian","items/evil-mc-supervillian-775.html","EVIL MC Supervillian - DESIGNER TOY.jpeg"
"14","Frozen Culture - Mc Supersized","items/mc-supersized-frozen-culture-483.html","Mc Supersized Frozen Culture - DESIGNER TOY.jpeg"
"15","Gold Rame MC Supersized","items/gold-rame-mc-supersized-619.html","Gold Rame MC Supersized - DESIGNER TOY-2.jpeg"
"16","MC Action Figure","items/mc-action-811.html","MC Action - DESIGNER TOY-2.jpeg"
"17","MC - Amber X-Ray","items/amber-xray-mc-453.html","Amber XRay MC - DESIGNER TOY.jpeg"
"18","MC - GID X-Ray (NTWRK Exclusive)","items/gid-x-ray-mc-ntwrk-exclusive-1033.html","GID X-Ray MC (NTWRK Exclusive) - DESIGNER TOY.jpeg"
"19","MC Lover - Clutter","items/mc-lover-clutter-419.html","MC Lover - Clutter.webp"
"20","MC Lover - Midnight Edition","items/mc-lover-midnight-edition-589.html","MC Lover - Midnight Edition - DESIGNER TOY.jpeg"
"21","Mc Lover - Patriot","items/mc-lover-patriot-323.html","Mc Lover - Patriot - DESIGNER TOY.jpeg"
"22","MC Lover - Sunshine","items/mc-lover-sunshine-1016.html","MC Lover - Sunshine - DESIGNER TOY.jpeg"
"23","MC - Marigold Xray","items/marigold-xray-mc-1040.html","Marigold XRay MC - DESIGNER TOY.jpeg"
"24","MC - Smoke Xray","items/smoke-xray-mc-1013.html","Smoke XRay MC - DESIGNER TOY.jpeg"
"25","MC Super Hero","items/mc-super-hero-439.html","Mc Super Hero - DESIGNER TOY.jpeg"
"26","MC Super Sized - X-Ray 2016 New Year Set - Yellow Lame","items/x-ray-mc-super-sized-2016-new-year-set-yellow-lame-128.html","X-RAY MC SUPER SIZED 2016 NEW YEAR SET - yellow Lame - DESIGNER TOY.jpeg"
